국가별,HDI_순위,인간개발지수,기대수명,평균교육기간,기대교육기간,1인당 GNI(달러)
아시아,,,,,,
한국,22,0.903,82.4,12.1,16.5,35945
아프가니스탄,168,0.498,64,3.8,10.4,1824
아르메니아,83,0.755,74.8,11.7,13,9144
아제르바이잔,80,0.757,72.1,10.7,12.7,15600
바레인,43,0.846,77,9.4,16,41580
방글라데시,136,0.608,72.8,5.8,11.4,3677
부탄,134,0.612,70.6,3.1,12.3,8065
브루나이,39,0.853,77.4,9.1,14.5,76427
캄보디아,146,0.582,69.3,4.8,11.7,3413
중국,86,0.752,76.4,7.8,13.8,15270
키프로스,32,0.869,80.7,12.1,14.6,31568
동티모르,132,0.625,69.2,4.5,12.8,6846
조지아,70,0.78,73.4,12.8,15,9186
홍콩,7,0.933,84.1,12,16.3,58420
인도,130,0.64,68.8,6.4,12.4,6353
인도네시아,116,0.694,69.4,8,12.8,10846
이란,60,0.798,76.2,9.8,14.9,19130
이라크,120,0.685,70,6.8,11,17789
이스라엘,22,0.903,82.7,13,15.9,32711
일본,19,0.909,83.9,12.8,15.2,38986
요르단,95,0.735,74.5,10.4,13.1,8288
카자흐스탄,58,0.8,70,11.8,15.1,22626
북한,-,-,71.9,-,12,-
쿠웨이트,56,0.803,74.8,7.3,13.6,70524
키르기즈스탄,122,0.672,71.1,10.9,13.4,3255
라오스,139,0.601,67,5.2,11.2,6070
레바논,80,0.757,79.8,8.7,12.5,13378
말레이시아,57,0.802,75.5,10.2,13.7,26107
몰디브,101,0.717,77.6,6.3,12.6,13567
몽골,92,0.741,69.5,10.1,15.5,10103
미얀마,148,0.578,66.7,4.9,10,5567
네팔,149,0.574,70.6,4.9,12.2,2471
오만,48,0.821,77.3,9.5,13.9,36290
파키스탄,150,0.562,66.6,5.2,8.6,5311
필리핀,113,0.699,69.2,9.3,12.6,9154
카타르,37,0.856,78.3,9.8,13.4,116818
사우디아라비아,39,0.853,74.7,9.5,16.9,49680
싱가포르,9,0.932,83.2,11.5,16.2,82503
스리랑카,76,0.77,75.5,10.9,13.9,11326
시리아,155,0.536,71,5.1,8.8,2337
타지키스탄,127,0.65,71.2,10.4,11.2,3317
태국,83,0.755,75.5,7.6,14.7,15516
터키,64,0.791,76,8,15.2,24804
투르크메니스탄,108,0.706,68,9.8,10.8,15594
아랍에미리트,34,0.863,77.4,10.8,13.6,67805
우즈베키스탄,105,0.71,71.4,11.5,12,6470
베트남,116,0.694,76.5,8.2,12.7,5859
예멘,178,0.452,65.2,3,9,1239
북아메리카,,,,,,
캐나다,12,0.926,82.5,13.3,16.4,43433
멕시코,74,0.774,77.3,8.6,14.1,16944
미국,13,0.924,79.5,13.4,16.5,54941
남아메리카,,,,,,
앤티가바부다,70,0.78,76.5,9.2,13.2,20764
아르헨티나,47,0.825,76.7,9.9,17.4,18461
바하마,54,0.807,75.8,11.1,12.8,26681
바베이도스,58,0.8,76.1,10.6,15.3,15843
벨리즈,106,0.708,70.6,10.5,12.8,7166
볼리비아,118,0.693,69.5,8.9,14,6714
브라질,79,0.759,75.7,7.8,15.4,13755
칠레,44,0.843,79.7,10.3,16.4,21910
콜롬비아,90,0.747,74.6,8.3,14.4,12938
코스타리카,63,0.794,80,8.8,15.4,14636
쿠바,73,0.777,79.9,11.8,14,7524
도미니카연방,103,0.715,78,7.8,12.7,8344
도미니카공화국,94,0.736,74,7.8,13.7,13921
에콰도르,86,0.752,76.6,8.7,14.7,10347
엘살바도르,121,0.674,73.8,6.9,12.6,6868
